"filename", "language", "Python", "comment", "blank", "total"
"d:\1-PROYECTOS\matriculas_GC\excel_functions.py", "Python", 15, 4, 5, 24
"d:\1-PROYECTOS\matriculas_GC\gui.py", "Python", 52, 17, 19, 88
"d:\1-PROYECTOS\matriculas_GC\main.py", "Python", 4, 0, 2, 6
"d:\1-PROYECTOS\matriculas_GC\matriculas_functions.py", "Python", 29, 7, 12, 48
"d:\1-PROYECTOS\matriculas_GC\prueba.py", "Python", 30, 14, 13, 57
"d:\1-PROYECTOS\matriculas_GC\scraping.py", "Python", 29, 10, 12, 51
"Total", "-", 159, 52, 63, 274
