"filename", "language", "Python", "HTML", "comment", "blank", "total"
"d:\1-PROYECTOS\matriculas_GC\build\main\xref-main.html", "HTML", 0, 43453, 0, 7151, 50604
"d:\1-PROYECTOS\matriculas_GC\excel_functions.py", "Python", 18, 0, 2, 4, 24
"d:\1-PROYECTOS\matriculas_GC\global_vars.py", "Python", 1, 0, 1, 1, 3
"d:\1-PROYECTOS\matriculas_GC\gui.py", "Python", 95, 0, 24, 28, 147
"d:\1-PROYECTOS\matriculas_GC\main.py", "Python", 3, 0, 0, 2, 5
"d:\1-PROYECTOS\matriculas_GC\matriculas_functions.py", "Python", 181, 0, 13, 43, 237
"d:\1-PROYECTOS\matriculas_GC\process_functions.py", "Python", 26, 0, 12, 10, 48
"Total", "-", 324, 43453, 52, 7239, 51068
