"filename", "language", "Python", "comment", "blank", "total"
"d:\1-PROYECTOS\matriculas_GC\excel_functions.py", "Python", 18, 2, 4, 24
"d:\1-PROYECTOS\matriculas_GC\global_vars.py", "Python", 1, 1, 1, 3
"d:\1-PROYECTOS\matriculas_GC\gui.py", "Python", 94, 24, 28, 146
"d:\1-PROYECTOS\matriculas_GC\main.py", "Python", 3, 0, 2, 5
"d:\1-PROYECTOS\matriculas_GC\matriculas_functions.py", "Python", 173, 13, 44, 230
"d:\1-PROYECTOS\matriculas_GC\process_functions.py", "Python", 25, 12, 10, 47
"Total", "-", 314, 52, 89, 455
